player,team,age,height,weight,points
Aaron Gordon,ORL,24,80,235,14.1
Aaron Holiday,IND,23,73,185,9.9
Abdel Nader,OKC,26,77,225,5.8
Adam Mokoka,CHI,21,77,190,2.5
Admiral Schofield,WAS,22,77,241,3.2
Al Horford,PHI,33,81,240,11.9
Al-Farouq Aminu,ORL,29,80,220,4.3
Alec Burks,PHI,28,78,214,15.9
Alen Smailagic,GSW,19,82,215,4.5
Alex Caruso,LAL,25,77,186,5.5
Alex Len,SAC,26,85,250,8.7
Alfonzo McKinnie,CLE,27,79,215,4.3
Alize Johnson,IND,23,79,212,1.6
Allen Crabbe,MIN,27,77,212,4.6
Allonzo Trier,NYK,24,76,200,6.0
Amile Jefferson,ORL,26,81,222,0.8
Amir Coffey,LAC,22,79,210,3.2
Andre Drummond,CLE,26,82,279,17.6
Andre Iguodala,MIA,36,78,215,5.3
Andrew Wiggins,GSW,24,79,197,22.5
Anfernee Simons,POR,20,75,181,9.1
Ante Zizic,CLE,23,82,266,4.3
Anthony Davis,LAL,26,82,253,26.7
Anthony Tolliver,SAC,34,80,240,3.3
Antonius Cleveland,DAL,26,77,195,0.8
Anzejs Pasecniks,WAS,24,86,229,7.0
Aron Baynes,PHX,33,82,260,11.3
Austin Rivers,HOU,27,75,200,8.5
Avery Bradley,LAL,29,75,180,8.7
Bam Adebayo,MIA,22,81,255,16.1
Ben McLemore,HOU,27,75,195,10.2
Ben Simmons,PHI,23,82,240,16.9
Bismack Biyombo,CHA,27,80,255,7.4
BJ Johnson,ORL,24,79,200,1.6
Blake Griffin,DET,30,81,250,15.5
Boban Marjanovic,DAL,31,88,290,5.8
Bobby Portis,NYK,25,82,250,9.6
Bogdan Bogdanovic,SAC,27,78,220,14.3
Bojan Bogdanovic,UTA,30,80,226,20.9
Brad Wanamaker,BOS,30,75,210,6.6
Bradley Beal,WAS,26,75,207,29.1
Brandon Clarke,MEM,23,80,215,12.3
Brandon Goodwin,ATL,24,73,180,6.4
Brandon Ingram,NOP,22,79,190,24.7
Brandon Knight,DET,28,74,182,4.6
Brian Bowen II,IND,21,78,190,0.7
Brook Lopez,MIL,31,85,282,10.8
Bruce Brown,DET,23,76,202,8.9
Bruno Caboclo,HOU,24,81,218,2.7
Bruno Fernando,ATL,21,81,240,4.0
Bryn Forbes,SAS,26,74,205,11.1
Buddy Hield,SAC,27,76,220,20.4
Caleb Martin,CHA,24,77,205,2.8
Caleb Swanigan,POR,22,81,260,2.4
Cam Reddish,ATL,20,80,218,9.4
Cameron Johnson,PHX,23,80,210,7.7
Caris LeVert,BKN,25,78,205,15.6
Carmelo Anthony,POR,35,80,238,15.2
Carsen Edwards,BOS,21,71,200,2.9
Cedi Osman,CLE,24,79,230,10.9
Chandler Hutchison,CHI,23,79,210,7.8
Chandler Parsons,ATL,31,81,230,2.8
Charles Brown Jr.,ATL,23,78,199,2.0
Cheick Diallo,PHX,23,80,219,4.9
Chimezie Metu,SAS,22,81,225,2.5
Chris Boucher,TOR,27,81,200,6.2
Chris Chiozza,BKN,24,71,175,2.4
