team,pts_scored,yds_gained,giveaways,takeaways,yds_allowed,yds_penalized,pts_allowed,games_won
Arizona Cardinals,361,5467,18,17,6432,1041,442,5
Atlanta Falcons,381,6075,25,20,5693,1080,399,7
Baltimore Ravens,531,6521,15,25,4809,795,282,14
Buffalo Bills,314,5283,19,23,4772,815,259,10
Carolina Panthers,340,5469,35,21,5992,940,470,5
Chicago Bears,280,4749,19,19,5186,923,298,8
Cincinnati Bengals,279,5169,30,16,6299,988,420,2
Cleveland Browns,335,5455,28,20,5785,836,393,6
Dallas Cowboys,434,6904,18,17,5232,855,321,8
Denver Broncos,282,4777,16,17,5392,1041,316,7
Detroit Lions,341,5549,23,18,6406,960,423,3
Green Bay Packers,376,5528,13,25,5642,968,313,13
Houston Texans,378,5792,22,22,6213,859,385,10
Indianapolis Colts,361,5238,21,23,5549,1040,373,7
Jacksonville Jaguars,300,5468,20,19,6007,883,397,6
Kansas City Chiefs,451,6067,15,23,5594,844,308,12
Los Angeles Chargers,337,5879,31,14,5009,959,345,5
Los Angeles Rams,394,5998,24,24,5434,829,364,9
Miami Dolphins,306,4960,26,16,6364,1084,494,5
Minnesota Vikings,407,5656,20,31,5465,713,303,10
New England Patriots,420,5664,15,36,4414,920,225,12
New Orleans Saints,458,5982,8,23,5329,713,341,13
New York Giants,341,5416,33,16,6037,922,451,4
New York Jets,276,4368,25,21,5170,902,359,7
Oakland Raiders,313,5819,17,15,5677,763,419,7
Philadelphia Eagles,385,5772,23,20,5307,959,354,9
Pittsburgh Steelers,289,4428,30,38,4866,1118,303,8
San Francisco 49ers,479,6097,23,27,4509,957,310,13
Seattle Seahawks,405,5991,20,32,6106,798,398,11
Tampa Bay Buccaneers,458,6366,41,28,5503,971,449,7
Tennessee Titans,402,5805,17,23,5752,1025,331,9
Washington Redskins,266,4395,21,22,6162,805,435,3
