sch_id,school,charter,county,rating,district,students,low_income,eng_learn,math_meets,math_masters,read_meets,read_masters
043901042,W E PETE FORD MIDDLE,N,COLLIN,A,ALLEN ISD,925,24.1,5,77,49,73,54
043901043,WALTER & LOIS CURTIS MIDDLE,N,COLLIN,A,ALLEN ISD,1345,14.1,3.6,78,48,79,56
043901044,ERECKSON MIDDLE,N,COLLIN,A,ALLEN ISD,1241,14.9,7.1,85,62,78,63
043902041,ANNA MIDDLE,N,COLLIN,C,ANNA ISD,861,44.3,12.3,54,18,47,25
043903041,CELINA J H,N,COLLIN,A,CELINA ISD,642,22.4,3.7,76,42,72,49
043904041,FARMERSVILLE J H,N,COLLIN,B,FARMERSVILLE ISD,418,52.2,11.5,57,18,56,35
043905041,STALEY MIDDLE,N,COLLIN,A,FRISCO ISD,648,40.3,12.7,61,28,62,42
043905043,CLARK MIDDLE,N,COLLIN,B,FRISCO ISD,804,20.4,9.2,57,22,63,46
043905044,PIONEER HERITAGE MIDDLE,N,COLLIN,A,FRISCO ISD,945,3.4,2.6,92,71,85,65
043905045,WESTER MIDDLE,N,COLLIN,A,FRISCO ISD,807,14.9,5.1,78,44,74,53
043905046,GRIFFIN MIDDLE,N,COLLIN,A,FRISCO ISD,844,3.4,1.3,80,42,78,59
043905047,ROACH MIDDLE,N,COLLIN,A,FRISCO ISD,925,17.9,4.1,78,48,68,45
043905048,FOWLER MIDDLE,N,COLLIN,A,FRISCO ISD,1044,8.9,5.9,90,73,80,63
043905049,STAFFORD MIDDLE,N,COLLIN,A,FRISCO ISD,897,14.3,4,75,42,71,45
043905050,SCOGGINS MIDDLE,N,COLLIN,A,FRISCO ISD,911,19.4,4.1,78,42,71,49
043905051,HUNT MIDDLE,N,COLLIN,A,FRISCO ISD,836,17.2,9.2,80,49,76,55
043905052,MAUS MIDDLE,N,COLLIN,A,FRISCO ISD,972,13.6,3.8,71,38,77,51
043905053,COBB MIDDLE,N,COLLIN,A,FRISCO ISD,916,12.4,2.8,75,37,72,51
043905054,VANDEVENTER MIDDLE,N,COLLIN,A,FRISCO ISD,854,11.4,4.4,81,54,77,64
043905055,TRENT MIDDLE,N,COLLIN,A,FRISCO ISD,919,6.4,1.3,77,41,76,58
043905056,PEARSON MIDDLE,N,COLLIN,A,FRISCO ISD,868,6.2,3.1,84,56,83,68
043905057,NELSON MIDDLE,N,COLLIN,A,FRISCO ISD,788,4.8,1,85,53,85,63
043905058,LAWLER MIDDLE,N,COLLIN,A,FRISCO ISD,709,2.7,3.7,93,82,91,76
043917041,BLUE RIDGE MIDDLE,N,COLLIN,B,BLUE RIDGE ISD,210,59.5,11,35,6,43,26
043918041,LELAND E EDGE MIDDLE,N,COLLIN,C,COMMUNITY ISD,566,50.2,20.7,51,15,47,23
057806101,ADVANTAGE ACADEMY,Y,DALLAS,C,ADVANTAGE ACADEMY,1689,77,24.7,15,3,21,8
057810101,ACADEMY OF DALLAS,Y,DALLAS,C,ACADEMY OF DALLAS,487,100,12.1,14,3,26,6
057816101,AW BROWN-F L A INT CAMPUS,Y,DALLAS,D,A W BROWN LEADERSHIP ACADEMY,891,53.2,0.9,15,0,38,24
057829002,A+ SECONDARY SCHOOL,Y,DALLAS,B,A+ ACADEMY,586,89.4,32.6,38,10,27,14
057833001,EDUCATION CENTER INTERNATIONAL ACA,Y,DALLAS,C,EDUCATION CENTER INTERNATIONAL ACA,294,65.3,9.9,55,5,50,23
057833002,EDUCATION CENTER INTERNATIONAL ACA,Y,DALLAS,C,EDUCATION CENTER INTERNATIONAL ACA,178,60.1,9.6,47,29,47,29
057833003,EDUCATION CENTER INTERNATIONAL ACA,Y,DALLAS,C,EDUCATION CENTER INTERNATIONAL ACA,123,23.6,2.4,71,43,71,43
057841001,EAST GRAND PREPARATORY ACADEMY,Y,DALLAS,C,CITYSCAPE SCHOOLS,878,91.7,55.1,32,15,47,26
057903041,FIELD MIDDLE,N,DALLAS,C,CARROLLTON-FARMERS BRANCH ISD,1028,82.2,39.1,21,3,34,17
057903042,PERRY MIDDLE,N,DALLAS,B,CARROLLTON-FARMERS BRANCH ISD,1000,76.8,52.5,32,7,40,25
057903044,LONG MIDDLE,N,DALLAS,D,CARROLLTON-FARMERS BRANCH ISD,647,81.9,32.5,18,2,30,10
057903045,BLALACK MIDDLE,N,DALLAS,B,CARROLLTON-FARMERS BRANCH ISD,1044,58.6,19.9,27,1,53,34
057903046,POLK MIDDLE,N,DALLAS,C,CARROLLTON-FARMERS BRANCH ISD,1040,74,29.7,10,1,37,18
057903047,BUSH MIDDLE,N,DALLAS,C,CARROLLTON-FARMERS BRANCH ISD,677,61.7,8.9,13,13,53,32
057904041,W S PERMENTER MIDDLE,N,DALLAS,C,CEDAR HILL ISD,800,73.9,6.1,14,3,35,15
057904042,BESSIE COLEMAN MIDDLE,N,DALLAS,C,CEDAR HILL ISD,769,68.8,5.1,18,1,36,18
057905012,L G PINKSTON H S,N,DALLAS,C,DALLAS ISD,1283,96.1,38.6,9,1,24,13
057905042,WILLIAM HAWLEY ATWELL LAW ACADEMY,N,DALLAS,D,DALLAS ISD,785,99.5,19.2,19,5,32,15
057905043,T W BROWNE MIDDLE,N,DALLAS,C,DALLAS ISD,570,97.2,38.6,28,9,27,14
057905044,EDWARD H CARY MIDDLE,N,DALLAS,D,DALLAS ISD,590,94.2,76.3,10,2,19,8
057905045,E B COMSTOCK MIDDLE,N,DALLAS,D,DALLAS ISD,798,99.5,47.6,8,3,19,8
057905046,YOUNG MEN'S LEADERSHIP ACADEMY AT,N,DALLAS,C,DALLAS ISD,870,87.8,59.5,24,6,30,15
057905047,BENJAMIN FRANKLIN INTERNATIONAL EX,N,DALLAS,B,DALLAS ISD,1103,81.7,50.9,28,2,36,18
057905048,W H GASTON MIDDLE,N,DALLAS,C,DALLAS ISD,939,93.4,55.3,27,5,41,22
057905049,W E GREINER EXPLORATORY ARTS ACADE,N,DALLAS,B,DALLAS ISD,1796,77,41.8,37,8,54,30
057905050,ROBERT T HILL MIDDLE,N,DALLAS,C,DALLAS ISD,862,87.7,53.7,21,0,38,17
057905051,OLIVER WENDELL HOLMES HUMANITIES/C,N,DALLAS,C,DALLAS ISD,714,98.9,22.3,26,6,34,17
057905052,PIEDMONT GLOBAL ACADEMY,N,DALLAS,C,DALLAS ISD,1028,92.6,58.9,21,5,32,16
057905053,J L LONG MIDDLE,N,DALLAS,B,DALLAS ISD,1474,64.9,28.4,28,5,47,30
057905054,THOMAS C MARSH MIDDLE,N,DALLAS,D,DALLAS ISD,963,89.5,67.6,5,1,27,10
057905055,THOMAS J RUSK MIDDLE,N,DALLAS,B,DALLAS ISD,648,96.9,56,22,3,37,19
057905056,EWELL D WALKER MIDDLE,N,DALLAS,C,DALLAS ISD,738,87.7,51.6,13,4,44,24
057905058,ALEX W SPENCE TALENTED/GIFTED ACAD,N,DALLAS,C,DALLAS ISD,713,83.6,35.2,11,2,51,32
057905059,L V STOCKARD MIDDLE,N,DALLAS,D,DALLAS ISD,1137,89.5,57.9,19,3,32,14
057905060,BOUDE STOREY MIDDLE,N,DALLAS,C,DALLAS ISD,528,97.7,39.2,18,3,19,6
057905062,BILLY EARL DADE MIDDLE,N,DALLAS,D,DALLAS ISD,879,99.9,25.8,21,8,24,14
057905068,RAUL QUINTANILLA SR MIDDLE,N,DALLAS,A,DALLAS ISD,691,93.8,56.2,35,7,38,16
057905069,SEAGOVILLE MIDDLE,N,DALLAS,C,DALLAS ISD,1380,91.2,51.5,16,3,31,13
057905072,SARAH ZUMWALT MIDDLE,N,DALLAS,C,DALLAS ISD,396,99,16.9,22,3,28,9
057905076,HAROLD WENDELL LANG SR MIDDLE,N,DALLAS,C,DALLAS ISD,870,90.3,41,30,10,30,13
057905077,HECTOR P GARCIA MIDDLE,N,DALLAS,C,DALLAS ISD,781,92.1,64.7,13,1,43,20
057905079,FRANCISCO MEDRANO MIDDLE,N,DALLAS,C,DALLAS ISD,943,96.1,76.7,18,4,32,16
057905083,SAM TASBY MIDDLE,N,DALLAS,C,DALLAS ISD,919,98.4,74.4,11,1,23,11
057905100,ZAN WESLEY HOLMES JR MIDDLE,N,DALLAS,C,DALLAS ISD,855,93.1,62.2,23,3,34,17
057905134,GEORGE B DEALEY MONTESSORI ACADEMY,N,DALLAS,B,DALLAS ISD,604,25,5,86,21,91,69
057905206,ALEX SANGER PREPARATORY SCHOOL,N,DALLAS,B,DALLAS ISD,708,77.7,46.5,21,3,51,25
057905352,YOUNG WOMEN'S STEAM ACADEMY AT BAL,N,DALLAS,A,DALLAS ISD,1199,94.2,56,51,23,47,27
057905353,ANN RICHARDS STEAM ACADEMY,N,DALLAS,B,DALLAS ISD,1322,95.8,55.5,34,12,40,16
057905354,KENNEDY-CURRY MIDDLE,N,DALLAS,F,DALLAS ISD,762,89.5,26.6,15,2,22,8
057905359,ROSEMONT MIDDLE,N,DALLAS,B,DALLAS ISD,200,78.5,69.5,38,5,65,30
057905360,D A HULCY STEAM MIDDLE,N,DALLAS,B,DALLAS ISD,532,63.7,37.4,46,14,48,31
057906041,DESOTO EAST MIDDLE (ISTEAM),N,DALLAS,F,DESOTO ISD,577,84.7,3.3,18,5,25,12
057906042,DESOTO WEST MIDDLE (ISTEAM),N,DALLAS,C,DESOTO ISD,721,69.1,2.5,18,2,32,14
057906043,CURTISTENE S MCCOWAN MIDDLE (ISTEA,N,DALLAS,C,DESOTO ISD,961,73.5,7,20,5,37,19
